session ID,item ID
0,168341
0,167070
0,53071
0,133970
0,41876
0,125741
0,53005
0,111245
0,113898
1,87032
1,121146
1,50771
1,175217
1,5534
1,109020
1,56206
1,106038
1,27539
1,44622
2,41457
2,74370
2,109148
2,123106
2,178458
2,44239
3,30035
3,159210
3,178542
3,117733
3,178543
3,134276
3,93240
3,178544
3,110708
3,89616
3,27987
3,150425
4,64459
4,1212
4,64073
4,6984
4,155610
4,22366
5,103023
5,56668
5,150298
5,147716
5,118193
5,125911
5,146044
5,77803
5,35457
5,108845
6,11786
6,2367
6,150823
6,157021
7,137153
7,101754
7,93792
7,17785
7,45198
7,93236
7,30784
8,118887
8,93719
8,680
8,75917
8,62085
8,78077
8,175728
8,25846
8,82167
8,35457
9,123449
9,177733
9,39462
9,84287
9,25247
9,76385
9,86770
9,101545
9,128656
9,124875
9,80201
9,140144
9,60820
9,57954
10,1955
10,123498
10,174179
10,93719
11,152543
11,86456
11,122266
11,66663
11,155756
11,96866
11,151947
11,112202
12,119293
12,14661
12,68076
12,40099
13,45793
13,36589
13,30164
13,151196
13,79147
13,121176
13,166301
13,90796
14,89850
14,141008
14,81123
14,148982
14,74168
14,97822
14,152615
15,8539
15,91020
15,162381
15,38041
15,168632
15,108845
15,168146
16,46109
16,132951
16,78943
16,160690
16,178596
16,129688
17,141299
17,142607
17,63257
17,56312
17,111145
18,77683
18,178565
18,170978
18,126383
18,44622
18,5152
19,175140
19,104512
20,43689
20,95602
20,110359
20,58953
20,178708
20,15483
21,53005
21,45793
21,21728
21,38786
21,58404
21,73937
21,92394
21,20413
21,118756
22,84657
22,115746
22,110848
22,19952
22,12894
22,133970
22,151947
22,20770
23,6451
23,64753
23,135148
24,130231
24,80196
24,74778
24,164381
24,83172
25,1653
25,54989
25,55113
25,103820
25,165539
25,118325
25,35457
26,145247
26,123205
26,18806
26,99189
27,123742
27,156509
27,20027
27,111145
27,24255
28,15827
28,178594
28,8855
28,6652
28,30029
28,56668
28,44239
28,93792
29,37550
29,163150
29,10737
29,78630
29,161333
29,92257
30,108845
30,84728
30,83546
30,134612
30,118325
30,83197
30,87711
30,83081
30,177270
30,136257
31,98570
31,23607
31,13485
31,44879
31,8294
31,90457
32,57692
32,171969
32,57957
32,15912
32,154296
32,101688
32,154358
32,51834
32,49828
33,31637
33,67083
33,161663
33,111116
33,162850
33,2712
33,84898
33,163013
33,75427
34,127864
34,107890
34,169267
34,131157
35,68595
35,125046
35,45691
35,141170
35,22605
35,66458
35,110615
36,73808
36,1499
36,79138
36,110481
36,63439
36,128656
36,178546
36,44273
36,29176
36,118776
36,11527
36,108845
36,78193
36,12894
36,29902
36,90796
36,93719
36,178446
37,170354
37,154085
37,60373
37,93831
37,35065
38,178515
38,100813
38,88643
38,37671
38,152615
38,109493
38,138879
38,83830
38,138842
38,81123
38,19165
39,174634
39,78932
39,26796
39,26775
39,78408
39,160512
39,168589
39,121023
39,177836
40,13109
40,142066
40,38693
40,128225
40,14077
40,44824
40,103973
41,33073
41,79921
41,110646
41,61417
41,59222
41,3620
41,150336
41,3734
41,80550
41,163247
41,29775
42,25552
42,11651
42,94690
42,49178
42,6190
42,108845
42,108311
42,133
42,159317
43,67365
43,73700
43,5354
43,105787
43,57957
43,62045
43,83134
43,123742
43,10212
43,12350
44,23333
44,103820
44,174405
44,64073
45,9488
45,112529
45,141170
45,158027
45,75587
45,178650
46,57957
46,34294
47,177058
47,132967
47,127312
47,140589
47,178481
47,160809
47,29479
48,11158
48,59334
48,141170
48,125752
48,145329
48,85318
49,63439
49,40699
49,52749
49,44239
49,112797
49,57616
49,28098
50,19859
50,106061
50,178586
50,1450
50,155733
51,135148
51,173676
51,100109
51,144765
51,108845
52,9585
52,83371
52,156826
52,68485
52,144765
52,161029
52,18758
52,112693
53,20672
53,58670
53,102412
53,121119
53,171362
53,118432
54,16748
54,91320
54,6548
55,120111
55,178701
55,498
55,66458
55,22605
55,24870
55,90796
56,8548
56,102915
57,96740
57,36953
57,94895
57,9185
57,158027
58,76057
58,153305
58,20528
58,94688
58,60918
58,113636
58,169355
58,28007
58,48427
59,114725
59,95853
60,870
60,158104
60,169762
60,20732
60,97408
61,73203
61,9018
61,47125
62,8394
62,140272
62,69101
62,14727
62,75994
62,37871
62,3476
63,142223
63,144411
63,23020
64,178375
64,139241
64,110848
64,47046
64,3200
65,81600
65,147813
65,120111
65,110615
66,33483
66,51646
66,37994
67,66271
67,72436
68,50997
68,112067
68,66258
68,77642
68,177533
68,89169
68,144935
69,14169
69,77580
69,160620
69,70065
69,89597
69,74986
69,165211
69,108762
70,142643
70,58378
70,165220
70,59327
70,146080
70,74861
70,164020
70,82482
70,89616
70,53604
71,178573
71,5072
71,58278
71,149226
71,63973
71,17785
72,137208
72,84363
72,178476
72,41045
72,13059
72,46699
72,89616
73,66102
73,135377
73,27411
73,21706
73,134390
74,104048
74,108845
74,68076
74,34561
74,99222
74,73700
74,115020
74,84973
74,45870
74,79622
75,61648
75,86947
75,19165
76,138960
76,178480
76,40752
76,29279
76,69043
76,98148
76,139334
77,21770
77,24870
77,30894
77,157672
77,91396
77,68050
78,126585
78,91745
78,123667
78,103973
78,32441
78,127686
78,127950
78,97408
79,135214
79,135989
79,63812
79,46724
79,639
79,78630
79,84002
79,133416
79,90796
80,178671
80,118491
80,87032
80,74370
80,57692
80,11101
81,53777
81,75873
81,83546
81,81123
81,155039
81,57939
81,151787
82,156826
82,78737
82,79138
82,69979
82,78193
83,169065
83,4500
83,173351
83,51646
83,116180
83,66271
83,164168
83,3342
83,62262
83,44239
84,18184
84,51035
84,25546
84,71653
84,76129
85,59877
85,45608
85,153453
85,28004
85,19165
86,20027
86,116138
86,60549
87,5792
87,137528
87,170275
87,584
88,39689
88,112693
88,70601
88,90796
89,57773
89,45284
89,5742
89,103324
89,103226
90,174405
90,22605
90,323
90,47125
90,166301
91,41453
91,14174
91,70406
91,112693
91,49997
91,49243
91,30784
91,14077
91,97408
92,112742
92,74627
92,18043
92,6907
92,128447
93,7360
93,158864
93,173015
93,146080
93,6706
93,67797
93,117552
93,90796
94,28263
94,110885
94,40273
95,149551
95,165394
95,9018
95,32964
95,74324
95,135214
95,165436
96,105742
96,172482
96,158027
97,97146
97,146336
97,164254
97,153719
97,21081
97,85013
97,151787
97,90796
98,152641
98,72122
98,76016
98,142223
98,176647
99,62555
99,95173
99,96882
99,57616
99,29169
99,23883
99,38434
100,82118
100,98242
100,172159
101,178503
101,176017
101,149238
101,13417
101,178504
102,85591
102,118032
102,86030
102,139070
102,164038
102,163937
102,82818
102,174770
102,34804
102,52371
103,62578
103,152998
103,159051
103,89179
104,160688
104,133278
104,151153
104,117496
104,59245
104,116223
104,61194
104,26105
104,89616
104,125220
104,57600
104,163059
104,168200
105,102682
105,71562
105,93108
105,145257
105,53071
105,91863
106,119844
106,45554
106,38799
107,109272
107,139506
107,24255
107,161984
107,110655
107,168232
107,35457
108,132700
108,112693
108,41137
108,74051
109,89992
109,170220
109,78674
109,49356
109,173781
109,90672
109,89616
110,24870
110,74279
110,132102
110,89169
110,19739
110,43374
110,51646
110,172159
110,15177
111,111833
111,53777
111,65466
111,159051
112,8646
112,93140
112,56482
112,810
113,63337
113,167648
113,111311
113,113105
113,174594
113,127901
114,19558
114,91135
114,52420
114,93992
114,98074
114,178522
114,90790
114,178523
114,155626
115,164936
115,16616
116,97439
116,59635
117,78630
117,87046
117,142643
117,158864
117,4039
117,133042
117,38434
117,91745
118,97938
118,63439
118,106779
119,166240
119,39747
119,51745
119,147790
120,97146
120,55953
120,141189
120,43595
120,11527
120,35457
120,124875
120,151947
121,176292
121,103203
121,8641
121,37464
121,121302
121,148081
121,45493
121,156519
121,80890
121,7994
121,7010
121,157021
121,104048
121,89616
121,53604
122,71979
122,77858
122,65648
123,160451
123,164815
123,19952
123,80258
123,1763
123,66518
123,17135
123,49870
123,91320
123,117637
124,13794
124,53777
124,27893
124,11101
124,97087
124,111547
124,24682
124,112787
124,7763
124,28815
125,178621
125,7798
125,43744
125,99927
125,140049
125,154358
125,157021
125,4721
126,34702
126,79264
126,22605
126,122703
126,150474
126,61915
126,1763
126,139947
127,134002
127,98455
127,86703
128,155000
128,36326
128,44328
128,76883
128,173536
128,98074
128,13510
128,160253
128,125020
128,142643
129,144101
129,104815
129,16869
129,1955
129,51054
129,29043
129,125220
129,89616
130,152548
130,21919
130,11162
130,70406
130,1709
131,111530
131,498
131,178449
131,141170
132,43759
132,83872
132,37566
132,96078
132,57094
132,58781
132,178492
132,18947
132,28208
132,40099
132,125758
132,131157
133,38574
133,88607
133,72500
134,9151
134,49591
134,141170
134,152011
134,29490
134,100935
134,111530
135,102185
135,139947
135,103037
135,10130
135,4087
135,76671
135,65531
135,159842
136,94585
136,18396
136,108845
136,169688
136,146080
136,11101
136,55953
137,162850
137,38799
137,102005
137,178355
137,23365
138,78573
138,101545
138,129770
138,38178
138,88264
138,38434
139,17135
139,134431
139,26923
139,50382
139,93719
139,24870
139,91196
139,46409
140,142529
140,100935
140,126
140,169639
140,112693
140,123391
140,12365
140,45284
141,134470
141,83774
141,148315
141,32193
141,60153
142,49106
142,128817
142,107999
142,50678
142,54837
142,125758
142,19165
143,169831
143,150823
144,98455
144,156034
144,102401
144,150750
144,135214
144,14342
144,178549
144,152430
144,135380
144,7029
144,5650
145,178443
145,143791
145,159051
146,24870
146,57773
146,98150
146,29043
146,75873
146,584
146,176017
146,35730
146,53853
147,97137
147,29415
148,19952
148,142664
148,164123
148,91561
148,92257
148,111116
149,170447
149,27337
149,170462
149,151947
150,67771
150,67688
150,47452
150,121377
151,78737
151,16132
151,54649
151,76244
151,40200
152,8031
152,166753
152,1701
152,125758
152,73801
152,170057
152,57183
152,109949
152,173323
153,76899
153,78564
153,164051
153,123879
153,118756
153,125758
153,38799
154,141170
154,33928
154,66458
154,73410
155,52034
155,54721
155,60754
155,59315
155,79138
155,108845
155,28208
156,138546
156,154008
156,89260
156,71236
156,124875
156,85013
156,17186
156,168146
156,146739
156,159051
156,113898
156,28733
156,61194
156,15878
157,68228
157,112693
157,131215
157,71414
157,155733
158,159772
158,70994
158,118193
158,103023
158,35457
159,167778
159,149679
159,44253
159,163687
159,63531
160,145109
160,58634
160,99565
160,85491
160,151785
160,178486
160,63243
161,164467
161,27453
161,91498
161,56810
161,67078
162,90710
162,60820
162,129052
162,47538
162,99770
162,53931
163,2806
163,38801
163,168083
163,48571
163,17342
163,48412
163,89616
163,125220
163,68576
163,53604
164,42739
164,105274
164,46570
164,107170
164,65162
164,76122
164,78737
164,159051
165,110848
165,77858
165,153729
165,36986
165,139070
165,17135
165,1885
165,21324
165,142978
165,73021
166,60754
166,3342
166,4505
166,82164
166,39391
166,148081
166,123391
166,154090
166,59334
166,145329
167,49723
167,35086
167,178495
167,178497
167,85862
167,178498
168,5292
168,1709
168,16461
168,979
168,148987
168,121606
169,135214
169,166661
169,94382
169,90796
170,56668
170,133612
170,105179
170,156034
170,127399
170,10675
170,108845
171,14629
171,74033
171,159507
171,120135
171,56806
171,44239
171,44622
172,107008
172,110207
172,52659
172,8261
172,148405
172,91393
172,38397
172,106486
172,66405
172,173688
172,40699
172,137153
172,20770
172,170462
173,116403
173,175046
173,124984
173,172775
173,97694
173,36824
173,49828
174,71093
174,113381
174,124144
174,24682
174,176201
174,6652
174,96341
174,53395
174,57360
174,4529
174,76695
174,44622
175,31999
175,49997
175,123635
175,98326
175,151947
176,33426
176,117025
176,103707
176,48516
176,31751
177,47036
177,122139
177,114414
178,54403
178,24815
178,115099
179,105866
179,178670
179,149040
179,29169
180,48076
180,85959
180,98455
180,44359
181,108845
181,86914
181,34702
181,77218
181,115613
181,154558
182,61192
182,140695
182,110258
182,29490
182,13846
183,79622
183,4634
183,87947
183,172363
183,163293
183,76695
183,98635
183,70994
183,80201
184,152691
184,103192
184,112742
184,94903
184,132967
184,100825
184,55953
185,162592
185,135148
185,178470
185,153390
185,164300
186,92879
186,22605
186,6574
186,79419
187,80961
187,178152
187,150431
187,112202
188,177074
188,49209
188,178550
188,130625
188,178551
188,123690
188,80350
188,115432
188,169905
189,164628
189,35913
189,135958
189,118951
189,168064
189,51646
189,3543
190,95477
190,7521
190,76695
190,89179
190,20770
191,43484
191,97776
191,139610
191,78737
191,109843
191,161098
191,109245
191,65849
191,159051
192,92879
192,68659
192,54837
192,67056
193,89992
193,178634
193,36789
193,40032
193,52518
193,143066
194,173328
194,26306
194,168343
194,138927
195,147441
195,104289
195,63531
195,39994
195,40099
195,155954
195,44984
196,155733
196,165609
196,52651
196,10704
196,61192
197,30608
197,141333
197,119048
197,20770
197,35457
198,176201
198,108845
199,155794
199,122640
199,23478
199,74279
199,18860
199,79570
199,53261
199,154762
200,37464
200,44984
200,50880
200,11786
200,22605
201,101810
201,146974
201,87955
202,59396
202,131807
202,65596
202,50106
202,155481
202,178617
202,174351
202,168697
202,155733
202,109949
203,150110
203,57905
203,63531
204,29457
204,55104
204,65191
204,91710
204,105147
204,63652
204,57954
204,178628
204,151463
205,129479
205,104048
205,18947
205,18598
205,28661
205,15818
205,29759
205,40099
206,30935
206,27578
206,116458
206,85286
206,8336
206,117643
207,146243
207,156025
207,62394
207,155507
207,150386
207,91979
207,69043
207,26145
207,29731
207,152670
208,36698
208,59060
208,110125
208,103682
209,159806
209,141279
209,32923
209,4865
209,21728
209,13467
209,89150
209,24255
209,111145
209,111519
210,133156
210,33130
211,115935
211,146574
211,148316
211,25546
211,74096
211,35457
212,112693
212,24870
212,141208
212,99958
213,167349
213,76883
213,119918
213,165092
213,133042
213,128178
213,61290
213,91784
214,141948
214,73753
214,119844
214,176647
214,35755
214,171030
215,178447
215,104176
215,131558
215,78064
216,35606
216,45284
216,158211
216,44641
216,142402
217,90796
217,145768
217,133013
217,118535
217,176474
217,69244
217,115990
217,90647
218,149924
218,36698
218,67797
218,150782
218,71755
218,77871
218,104048
218,15878
218,68576
218,125220
219,111434
219,1167
220,76863
220,7962
220,44713
220,93240
220,99958
221,156826
221,55832
221,144643
221,143811
221,110502
221,5638
221,60048
221,178529
221,40099
221,108762
222,77225
222,87681
222,135148
222,91797
222,83998
222,43530
222,112040
222,148081
222,150431
222,19165
222,59461
223,62385
223,128258
224,3593
224,94012
224,141716
224,12635
224,8500
224,122086
224,109880
225,81735
225,77225
226,132716
226,154127
226,14770
226,22605
226,173545
226,125758
227,20732
227,135148
227,173688
227,75873
228,151658
228,81110
228,24774
228,49828
229,67951
229,93236
229,176576
229,135214
229,41457
229,150431
229,166301
230,78193
230,2824
230,91977
231,178556
231,112693
231,104571
231,12521
231,126
231,68895
231,45284
231,156459
231,135148
231,166626
232,10675
232,3500
232,124909
233,167349
233,105340
233,89616
233,163059
233,53604
234,112151
234,80563
234,6196
234,127950
234,53590
234,159308
234,29642
235,109244
235,44194
235,16875
235,86643
236,103037
236,27916
236,84335
236,149211
236,15933
236,128456
236,77952
236,121079
236,2085
237,142669
237,115344
237,63339
237,173552
237,118721
237,144354
237,82658
238,56751
238,178536
238,41957
238,178537
238,178538
238,178539
238,24862
238,14174
238,105979
238,178540
238,1763
239,53071
239,123473
239,300
239,10626
239,136785
239,51646
239,172159
240,75162
240,137371
240,147931
240,178616
240,150500
240,41453
240,15203
241,107062
241,136740
241,17352
241,75843
241,175161
242,28208
242,110848
242,66518
242,139947
242,102495
242,14912
243,53005
243,94895
243,70885
243,90447
243,91119
243,112202
244,101438
244,54304
244,161854
245,68484
245,137649
246,5650
246,49178
246,39905
246,61823
246,144765
246,76179
246,26094
246,125758
247,92611
247,52729
247,123519
248,81110
248,66271
248,73021
248,5292
248,108845
248,113431
248,74116
249,178455
249,16464
249,4569
249,28007
250,79408
250,115751
250,111705
251,45361
251,178463
251,14927
251,178464
251,90870
252,147771
252,11527
253,11412
253,116002
253,163940
253,90865
253,46567
253,178614
253,141404
253,52371
253,55953
253,151634
253,66757
