page_name,pair_index,randomised,left_is,right_is
clothing_pair_200,200,no,,
clothing_pair_201,201,no,,
clothing_pair_202,202,yes,,
clothing_pair_203,203,no,,
clothing_pair_204,204,no,,
clothing_pair_205,205,yes,,
clothing_pair_206,206,yes,,
clothing_pair_207,207,yes,,
clothing_pair_208,208,yes,,
clothing_pair_209,209,yes,,
clothing_pair_210,210,yes,,
clothing_pair_211,211,no,,
clothing_pair_212,212,no,,
clothing_pair_213,213,no,,
clothing_pair_214,214,no,,
clothing_pair_215,215,yes,,
clothing_pair_216,216,no,,
clothing_pair_217,217,no,,
clothing_pair_218,218,no,,
clothing_pair_219,219,yes,,
