page_name,pair_index,randomised,left_is,right_is
food_pair_200,200,yes,,
food_pair_201,201,yes,,
food_pair_202,202,no,,
food_pair_203,203,no,,
food_pair_204,204,no,,
food_pair_205,205,no,,
food_pair_206,206,no,,
food_pair_207,207,yes,,
food_pair_208,208,no,,
food_pair_209,209,yes,,
food_pair_210,210,no,,
food_pair_211,211,yes,,
food_pair_212,212,yes,,
food_pair_213,213,yes,,
food_pair_214,214,no,,
food_pair_215,215,yes,,
food_pair_216,216,yes,,
food_pair_217,217,no,,
food_pair_218,218,no,,
food_pair_219,219,yes,,
