page_name,pair_index,randomised,left_is,right_is
clothing_pair_420,420,no,,
clothing_pair_421,421,yes,,
clothing_pair_422,422,yes,,
clothing_pair_423,423,yes,,
clothing_pair_424,424,yes,,
clothing_pair_425,425,no,,
clothing_pair_426,426,yes,,
clothing_pair_427,427,no,,
clothing_pair_428,428,no,,
clothing_pair_429,429,no,,
clothing_pair_430,430,yes,,
clothing_pair_431,431,no,,
clothing_pair_432,432,no,,
clothing_pair_433,433,no,,
clothing_pair_434,434,no,,
clothing_pair_435,435,no,,
clothing_pair_436,436,yes,,
clothing_pair_437,437,no,,
clothing_pair_438,438,yes,,
clothing_pair_439,439,no,,
