page_name,pair_index,randomised,left_is,right_is
food_pair_520,520,no,,
food_pair_521,521,no,,
food_pair_522,522,yes,,
food_pair_523,523,no,,
food_pair_524,524,yes,,
food_pair_525,525,yes,,
food_pair_526,526,no,,
food_pair_527,527,yes,,
food_pair_528,528,yes,,
food_pair_529,529,no,,
food_pair_530,530,yes,,
food_pair_531,531,no,,
food_pair_532,532,no,,
food_pair_533,533,no,,
food_pair_534,534,yes,,
food_pair_535,535,no,,
food_pair_536,536,no,,
food_pair_537,537,no,,
food_pair_538,538,yes,,
food_pair_539,539,yes,,
