page_name,pair_index,randomised,left_is,right_is
clothing_pair_640,640,yes,,
clothing_pair_641,641,no,,
clothing_pair_642,642,no,,
clothing_pair_643,643,no,,
clothing_pair_644,644,yes,,
clothing_pair_645,645,no,,
clothing_pair_646,646,no,,
clothing_pair_647,647,no,,
clothing_pair_648,648,no,,
clothing_pair_649,649,yes,,
clothing_pair_650,650,no,,
clothing_pair_651,651,no,,
clothing_pair_652,652,no,,
clothing_pair_653,653,yes,,
clothing_pair_654,654,yes,,
clothing_pair_655,655,no,,
clothing_pair_656,656,no,,
clothing_pair_657,657,no,,
clothing_pair_658,658,no,,
clothing_pair_659,659,yes,,
