page_name,pair_index,randomised,left_is,right_is
electronics_pair_120,120,yes,,
electronics_pair_121,121,no,,
electronics_pair_122,122,no,,
electronics_pair_123,123,no,,
electronics_pair_124,124,yes,,
electronics_pair_125,125,no,,
electronics_pair_126,126,yes,,
electronics_pair_127,127,no,,
electronics_pair_128,128,yes,,
electronics_pair_129,129,yes,,
electronics_pair_130,130,no,,
electronics_pair_131,131,yes,,
electronics_pair_132,132,no,,
electronics_pair_133,133,yes,,
electronics_pair_134,134,no,,
electronics_pair_135,135,yes,,
electronics_pair_136,136,no,,
electronics_pair_137,137,yes,,
electronics_pair_138,138,yes,,
electronics_pair_139,139,no,,
