page_name,pair_index,randomised,left_is,right_is
clothing_pair_0,0,yes,,
clothing_pair_1,1,yes,,
clothing_pair_2,2,yes,,
clothing_pair_3,3,yes,,
clothing_pair_4,4,yes,,
clothing_pair_5,5,yes,,
clothing_pair_6,6,no,,
clothing_pair_7,7,no,,
clothing_pair_8,8,no,,
clothing_pair_9,9,no,,
clothing_pair_10,10,no,,
clothing_pair_11,11,yes,,
clothing_pair_12,12,no,,
clothing_pair_13,13,yes,,
clothing_pair_14,14,yes,,
clothing_pair_15,15,yes,,
clothing_pair_16,16,no,,
clothing_pair_17,17,yes,,
clothing_pair_18,18,no,,
clothing_pair_19,19,yes,,
