page_name,pair_index,randomised,left_is,right_is
food_pair_720,720,no,,
food_pair_721,721,no,,
food_pair_722,722,yes,,
food_pair_723,723,yes,,
food_pair_724,724,no,,
food_pair_725,725,yes,,
food_pair_726,726,yes,,
food_pair_727,727,no,,
food_pair_728,728,yes,,
food_pair_729,729,yes,,
food_pair_730,730,yes,,
food_pair_731,731,yes,,
food_pair_732,732,no,,
food_pair_733,733,no,,
food_pair_734,734,no,,
food_pair_735,735,yes,,
food_pair_736,736,yes,,
food_pair_737,737,no,,
food_pair_738,738,no,,
food_pair_739,739,yes,,
