page_name,pair_index,randomised,left_is,right_is
food_pair_860,860,yes,,
food_pair_861,861,no,,
food_pair_862,862,yes,,
food_pair_863,863,no,,
food_pair_864,864,yes,,
food_pair_865,865,yes,,
food_pair_866,866,yes,,
food_pair_867,867,no,,
food_pair_868,868,no,,
food_pair_869,869,yes,,
food_pair_870,870,no,,
food_pair_871,871,yes,,
food_pair_872,872,no,,
food_pair_873,873,yes,,
food_pair_874,874,no,,
food_pair_875,875,yes,,
food_pair_876,876,no,,
food_pair_877,877,no,,
food_pair_878,878,yes,,
food_pair_879,879,no,,
