page_name,pair_index,randomised,left_is,right_is
electronics_pair_920,920,yes,,
electronics_pair_921,921,yes,,
electronics_pair_922,922,no,,
electronics_pair_923,923,yes,,
electronics_pair_924,924,no,,
electronics_pair_925,925,no,,
electronics_pair_926,926,yes,,
electronics_pair_927,927,yes,,
electronics_pair_928,928,no,,
electronics_pair_929,929,no,,
electronics_pair_930,930,no,,
electronics_pair_931,931,no,,
electronics_pair_932,932,yes,,
electronics_pair_933,933,no,,
electronics_pair_934,934,yes,,
electronics_pair_935,935,yes,,
electronics_pair_936,936,no,,
electronics_pair_937,937,no,,
electronics_pair_938,938,yes,,
electronics_pair_939,939,yes,,
