page_name,pair_index,randomised,left_is,right_is
food_pair_1120,1120,no,,
food_pair_1121,1121,yes,,
food_pair_1122,1122,no,,
food_pair_1123,1123,yes,,
food_pair_1124,1124,no,,
food_pair_1125,1125,yes,,
food_pair_1126,1126,yes,,
food_pair_1127,1127,yes,,
food_pair_1128,1128,yes,,
food_pair_1129,1129,no,,
food_pair_1130,1130,yes,,
food_pair_1131,1131,yes,,
food_pair_1132,1132,no,,
food_pair_1133,1133,no,,
food_pair_1134,1134,yes,,
food_pair_1135,1135,no,,
food_pair_1136,1136,yes,,
food_pair_1137,1137,no,,
food_pair_1138,1138,yes,,
food_pair_1139,1139,yes,,
