page_name,pair_index,randomised,left_is,right_is
clothing_pair_400,400,yes,,
clothing_pair_401,401,no,,
clothing_pair_402,402,yes,,
clothing_pair_403,403,no,,
clothing_pair_404,404,no,,
clothing_pair_405,405,yes,,
clothing_pair_406,406,no,,
clothing_pair_407,407,yes,,
clothing_pair_408,408,yes,,
clothing_pair_409,409,yes,,
clothing_pair_410,410,yes,,
clothing_pair_411,411,no,,
clothing_pair_412,412,yes,,
clothing_pair_413,413,no,,
clothing_pair_414,414,yes,,
clothing_pair_415,415,yes,,
clothing_pair_416,416,no,,
clothing_pair_417,417,yes,,
clothing_pair_418,418,yes,,
clothing_pair_419,419,no,,
