page_name,pair_index,randomised,left_is,right_is
food_pair_400,400,no,,
food_pair_401,401,no,,
food_pair_402,402,no,,
food_pair_403,403,yes,,
food_pair_404,404,no,,
food_pair_405,405,yes,,
food_pair_406,406,no,,
food_pair_407,407,no,,
food_pair_408,408,yes,,
food_pair_409,409,no,,
food_pair_410,410,yes,,
food_pair_411,411,yes,,
food_pair_412,412,no,,
food_pair_413,413,no,,
food_pair_414,414,no,,
food_pair_415,415,yes,,
food_pair_416,416,no,,
food_pair_417,417,yes,,
food_pair_418,418,no,,
food_pair_419,419,yes,,
