page_name,pair_index,randomised,left_is,right_is
clothing_pair_320,320,no,,
clothing_pair_321,321,no,,
clothing_pair_322,322,no,,
clothing_pair_323,323,yes,,
clothing_pair_324,324,no,,
clothing_pair_325,325,no,,
clothing_pair_326,326,yes,,
clothing_pair_327,327,no,,
clothing_pair_328,328,no,,
clothing_pair_329,329,yes,,
clothing_pair_330,330,no,,
clothing_pair_331,331,no,,
clothing_pair_332,332,no,,
clothing_pair_333,333,no,,
clothing_pair_334,334,no,,
clothing_pair_335,335,yes,,
clothing_pair_336,336,no,,
clothing_pair_337,337,yes,,
clothing_pair_338,338,yes,,
clothing_pair_339,339,no,,
