page_name,pair_index,randomised,left_is,right_is
electronics_pair_60,60,yes,,
electronics_pair_61,61,no,,
electronics_pair_62,62,yes,,
electronics_pair_63,63,yes,,
electronics_pair_64,64,no,,
electronics_pair_65,65,no,,
electronics_pair_66,66,yes,,
electronics_pair_67,67,yes,,
electronics_pair_68,68,yes,,
electronics_pair_69,69,no,,
electronics_pair_70,70,no,,
electronics_pair_71,71,yes,,
electronics_pair_72,72,yes,,
electronics_pair_73,73,yes,,
electronics_pair_74,74,no,,
electronics_pair_75,75,no,,
electronics_pair_76,76,yes,,
electronics_pair_77,77,yes,,
electronics_pair_78,78,no,,
electronics_pair_79,79,yes,,
