page_name,pair_index,randomised,left_is,right_is
clothing_pair_480,480,no,,
clothing_pair_481,481,no,,
clothing_pair_482,482,yes,,
clothing_pair_483,483,yes,,
clothing_pair_484,484,yes,,
clothing_pair_485,485,no,,
clothing_pair_486,486,yes,,
clothing_pair_487,487,yes,,
clothing_pair_488,488,yes,,
clothing_pair_489,489,yes,,
clothing_pair_490,490,yes,,
clothing_pair_491,491,yes,,
clothing_pair_492,492,no,,
clothing_pair_493,493,yes,,
clothing_pair_494,494,no,,
clothing_pair_495,495,yes,,
clothing_pair_496,496,no,,
clothing_pair_497,497,yes,,
clothing_pair_498,498,no,,
clothing_pair_499,499,no,,
