page_name,pair_index,randomised,left_is,right_is
clothing_pair_860,860,yes,,
clothing_pair_861,861,yes,,
clothing_pair_862,862,no,,
clothing_pair_863,863,yes,,
clothing_pair_864,864,yes,,
clothing_pair_865,865,no,,
clothing_pair_866,866,no,,
clothing_pair_867,867,no,,
clothing_pair_868,868,yes,,
clothing_pair_869,869,no,,
clothing_pair_870,870,yes,,
clothing_pair_871,871,yes,,
clothing_pair_872,872,no,,
clothing_pair_873,873,no,,
clothing_pair_874,874,yes,,
clothing_pair_875,875,no,,
clothing_pair_876,876,yes,,
clothing_pair_877,877,yes,,
clothing_pair_878,878,yes,,
clothing_pair_879,879,yes,,
