page_name,pair_index,randomised,left_is,right_is
electronics_pair_780,780,no,,
electronics_pair_781,781,yes,,
electronics_pair_782,782,yes,,
electronics_pair_783,783,yes,,
electronics_pair_784,784,no,,
electronics_pair_785,785,yes,,
electronics_pair_786,786,no,,
electronics_pair_787,787,yes,,
electronics_pair_788,788,no,,
electronics_pair_789,789,yes,,
electronics_pair_790,790,yes,,
electronics_pair_791,791,yes,,
electronics_pair_792,792,yes,,
electronics_pair_793,793,yes,,
electronics_pair_794,794,yes,,
electronics_pair_795,795,yes,,
electronics_pair_796,796,no,,
electronics_pair_797,797,no,,
electronics_pair_798,798,no,,
electronics_pair_799,799,no,,
