page_name,pair_index,randomised,left_is,right_is
clothing_pair_220,220,yes,,
clothing_pair_221,221,yes,,
clothing_pair_222,222,yes,,
clothing_pair_223,223,yes,,
clothing_pair_224,224,yes,,
clothing_pair_225,225,yes,,
clothing_pair_226,226,yes,,
clothing_pair_227,227,yes,,
clothing_pair_228,228,no,,
clothing_pair_229,229,no,,
clothing_pair_230,230,yes,,
clothing_pair_231,231,yes,,
clothing_pair_232,232,no,,
clothing_pair_233,233,yes,,
clothing_pair_234,234,yes,,
clothing_pair_235,235,no,,
clothing_pair_236,236,no,,
clothing_pair_237,237,yes,,
clothing_pair_238,238,no,,
clothing_pair_239,239,no,,
