page_name,pair_index,randomised,left_is,right_is
electronics_pair_440,440,yes,,
electronics_pair_441,441,no,,
electronics_pair_442,442,yes,,
electronics_pair_443,443,no,,
electronics_pair_444,444,yes,,
electronics_pair_445,445,no,,
electronics_pair_446,446,yes,,
electronics_pair_447,447,yes,,
electronics_pair_448,448,yes,,
electronics_pair_449,449,yes,,
electronics_pair_450,450,no,,
electronics_pair_451,451,yes,,
electronics_pair_452,452,no,,
electronics_pair_453,453,no,,
electronics_pair_454,454,yes,,
electronics_pair_455,455,yes,,
electronics_pair_456,456,yes,,
electronics_pair_457,457,no,,
electronics_pair_458,458,yes,,
electronics_pair_459,459,yes,,
