page_name,pair_index,randomised,left_is,right_is
electronics_pair_1080,1080,no,,
electronics_pair_1081,1081,yes,,
electronics_pair_1082,1082,no,,
electronics_pair_1083,1083,yes,,
electronics_pair_1084,1084,no,,
electronics_pair_1085,1085,yes,,
electronics_pair_1086,1086,no,,
electronics_pair_1087,1087,no,,
electronics_pair_1088,1088,no,,
electronics_pair_1089,1089,no,,
electronics_pair_1090,1090,no,,
electronics_pair_1091,1091,no,,
electronics_pair_1092,1092,no,,
electronics_pair_1093,1093,no,,
electronics_pair_1094,1094,no,,
electronics_pair_1095,1095,yes,,
electronics_pair_1096,1096,no,,
electronics_pair_1097,1097,yes,,
electronics_pair_1098,1098,no,,
electronics_pair_1099,1099,no,,
