page_name,pair_index,randomised,left_is,right_is
food_pair_660,660,yes,,
food_pair_661,661,no,,
food_pair_662,662,yes,,
food_pair_663,663,yes,,
food_pair_664,664,no,,
food_pair_665,665,yes,,
food_pair_666,666,yes,,
food_pair_667,667,no,,
food_pair_668,668,yes,,
food_pair_669,669,yes,,
food_pair_670,670,no,,
food_pair_671,671,no,,
food_pair_672,672,yes,,
food_pair_673,673,yes,,
food_pair_674,674,no,,
food_pair_675,675,yes,,
food_pair_676,676,no,,
food_pair_677,677,yes,,
food_pair_678,678,yes,,
food_pair_679,679,no,,
