page_name,pair_index,randomised,left_is,right_is
clothing_pair_80,80,yes,,
clothing_pair_81,81,yes,,
clothing_pair_82,82,yes,,
clothing_pair_83,83,yes,,
clothing_pair_84,84,no,,
clothing_pair_85,85,yes,,
clothing_pair_86,86,yes,,
clothing_pair_87,87,no,,
clothing_pair_88,88,yes,,
clothing_pair_89,89,yes,,
clothing_pair_90,90,yes,,
clothing_pair_91,91,yes,,
clothing_pair_92,92,no,,
clothing_pair_93,93,no,,
clothing_pair_94,94,yes,,
clothing_pair_95,95,yes,,
clothing_pair_96,96,yes,,
clothing_pair_97,97,yes,,
clothing_pair_98,98,no,,
clothing_pair_99,99,yes,,
