page_name,pair_index,randomised,left_is,right_is
electronics_pair_40,40,no,,
electronics_pair_41,41,yes,,
electronics_pair_42,42,yes,,
electronics_pair_43,43,no,,
electronics_pair_44,44,yes,,
electronics_pair_45,45,no,,
electronics_pair_46,46,yes,,
electronics_pair_47,47,yes,,
electronics_pair_48,48,no,,
electronics_pair_49,49,no,,
electronics_pair_50,50,yes,,
electronics_pair_51,51,yes,,
electronics_pair_52,52,no,,
electronics_pair_53,53,yes,,
electronics_pair_54,54,no,,
electronics_pair_55,55,yes,,
electronics_pair_56,56,no,,
electronics_pair_57,57,yes,,
electronics_pair_58,58,yes,,
electronics_pair_59,59,no,,
