page_name,pair_index,randomised,left_is,right_is
electronics_pair_680,680,no,,
electronics_pair_681,681,yes,,
electronics_pair_682,682,yes,,
electronics_pair_683,683,yes,,
electronics_pair_684,684,yes,,
electronics_pair_685,685,yes,,
electronics_pair_686,686,yes,,
electronics_pair_687,687,no,,
electronics_pair_688,688,no,,
electronics_pair_689,689,no,,
electronics_pair_690,690,no,,
electronics_pair_691,691,yes,,
electronics_pair_692,692,yes,,
electronics_pair_693,693,no,,
electronics_pair_694,694,no,,
electronics_pair_695,695,yes,,
electronics_pair_696,696,yes,,
electronics_pair_697,697,yes,,
electronics_pair_698,698,no,,
electronics_pair_699,699,no,,
