page_name,pair_index,randomised,left_is,right_is
food_pair_260,260,yes,,
food_pair_261,261,yes,,
food_pair_262,262,no,,
food_pair_263,263,no,,
food_pair_264,264,no,,
food_pair_265,265,no,,
food_pair_266,266,no,,
food_pair_267,267,no,,
food_pair_268,268,yes,,
food_pair_269,269,no,,
food_pair_270,270,yes,,
food_pair_271,271,yes,,
food_pair_272,272,no,,
food_pair_273,273,yes,,
food_pair_274,274,no,,
food_pair_275,275,no,,
food_pair_276,276,no,,
food_pair_277,277,yes,,
food_pair_278,278,yes,,
food_pair_279,279,yes,,
