page_name,pair_index,randomised,left_is,right_is
clothing_pair_680,680,yes,,
clothing_pair_681,681,yes,,
clothing_pair_682,682,no,,
clothing_pair_683,683,yes,,
clothing_pair_684,684,no,,
clothing_pair_685,685,yes,,
clothing_pair_686,686,no,,
clothing_pair_687,687,no,,
clothing_pair_688,688,no,,
clothing_pair_689,689,no,,
clothing_pair_690,690,yes,,
clothing_pair_691,691,no,,
clothing_pair_692,692,yes,,
clothing_pair_693,693,no,,
clothing_pair_694,694,yes,,
clothing_pair_695,695,yes,,
clothing_pair_696,696,yes,,
clothing_pair_697,697,yes,,
clothing_pair_698,698,yes,,
clothing_pair_699,699,no,,
