page_name,pair_index,randomised,left_is,right_is
food_pair_680,680,no,,
food_pair_681,681,yes,,
food_pair_682,682,yes,,
food_pair_683,683,no,,
food_pair_684,684,no,,
food_pair_685,685,yes,,
food_pair_686,686,yes,,
food_pair_687,687,no,,
food_pair_688,688,no,,
food_pair_689,689,yes,,
food_pair_690,690,no,,
food_pair_691,691,yes,,
food_pair_692,692,no,,
food_pair_693,693,yes,,
food_pair_694,694,yes,,
food_pair_695,695,no,,
food_pair_696,696,yes,,
food_pair_697,697,yes,,
food_pair_698,698,no,,
food_pair_699,699,no,,
