page_name,pair_index,randomised,left_is,right_is
food_pair_120,120,no,,
food_pair_121,121,yes,,
food_pair_122,122,no,,
food_pair_123,123,no,,
food_pair_124,124,yes,,
food_pair_125,125,no,,
food_pair_126,126,yes,,
food_pair_127,127,no,,
food_pair_128,128,no,,
food_pair_129,129,no,,
food_pair_130,130,yes,,
food_pair_131,131,no,,
food_pair_132,132,no,,
food_pair_133,133,yes,,
food_pair_134,134,no,,
food_pair_135,135,yes,,
food_pair_136,136,no,,
food_pair_137,137,yes,,
food_pair_138,138,no,,
food_pair_139,139,yes,,
