page_name,pair_index,randomised,left_is,right_is
clothing_pair_500,500,no,,
clothing_pair_501,501,yes,,
clothing_pair_502,502,yes,,
clothing_pair_503,503,no,,
clothing_pair_504,504,yes,,
clothing_pair_505,505,no,,
clothing_pair_506,506,yes,,
clothing_pair_507,507,yes,,
clothing_pair_508,508,no,,
clothing_pair_509,509,no,,
clothing_pair_510,510,no,,
clothing_pair_511,511,no,,
clothing_pair_512,512,no,,
clothing_pair_513,513,no,,
clothing_pair_514,514,yes,,
clothing_pair_515,515,yes,,
clothing_pair_516,516,no,,
clothing_pair_517,517,yes,,
clothing_pair_518,518,no,,
clothing_pair_519,519,no,,
