page_name,pair_index,randomised,left_is,right_is
food_pair_960,960,yes,,
food_pair_961,961,no,,
food_pair_962,962,yes,,
food_pair_963,963,no,,
food_pair_964,964,yes,,
food_pair_965,965,no,,
food_pair_966,966,yes,,
food_pair_967,967,yes,,
food_pair_968,968,no,,
food_pair_969,969,no,,
food_pair_970,970,no,,
food_pair_971,971,yes,,
food_pair_972,972,no,,
food_pair_973,973,yes,,
food_pair_974,974,no,,
food_pair_975,975,no,,
food_pair_976,976,yes,,
food_pair_977,977,no,,
food_pair_978,978,no,,
food_pair_979,979,yes,,
