page_name,pair_index,randomised,left_is,right_is
food_pair_800,800,no,,
food_pair_801,801,yes,,
food_pair_802,802,yes,,
food_pair_803,803,yes,,
food_pair_804,804,yes,,
food_pair_805,805,no,,
food_pair_806,806,no,,
food_pair_807,807,yes,,
food_pair_808,808,yes,,
food_pair_809,809,no,,
food_pair_810,810,no,,
food_pair_811,811,yes,,
food_pair_812,812,yes,,
food_pair_813,813,no,,
food_pair_814,814,no,,
food_pair_815,815,no,,
food_pair_816,816,yes,,
food_pair_817,817,yes,,
food_pair_818,818,no,,
food_pair_819,819,no,,
