page_name,pair_index,randomised,left_is,right_is
electronics_pair_340,340,yes,,
electronics_pair_341,341,no,,
electronics_pair_342,342,yes,,
electronics_pair_343,343,no,,
electronics_pair_344,344,yes,,
electronics_pair_345,345,yes,,
electronics_pair_346,346,no,,
electronics_pair_347,347,no,,
electronics_pair_348,348,yes,,
electronics_pair_349,349,yes,,
electronics_pair_350,350,yes,,
electronics_pair_351,351,no,,
electronics_pair_352,352,yes,,
electronics_pair_353,353,yes,,
electronics_pair_354,354,yes,,
electronics_pair_355,355,no,,
electronics_pair_356,356,no,,
electronics_pair_357,357,no,,
electronics_pair_358,358,yes,,
electronics_pair_359,359,no,,
