page_name,pair_index,randomised,left_is,right_is
electronics_pair_200,200,no,,
electronics_pair_201,201,yes,,
electronics_pair_202,202,yes,,
electronics_pair_203,203,no,,
electronics_pair_204,204,yes,,
electronics_pair_205,205,yes,,
electronics_pair_206,206,no,,
electronics_pair_207,207,yes,,
electronics_pair_208,208,yes,,
electronics_pair_209,209,no,,
electronics_pair_210,210,no,,
electronics_pair_211,211,yes,,
electronics_pair_212,212,no,,
electronics_pair_213,213,yes,,
electronics_pair_214,214,no,,
electronics_pair_215,215,no,,
electronics_pair_216,216,yes,,
electronics_pair_217,217,yes,,
electronics_pair_218,218,no,,
electronics_pair_219,219,no,,
