page_name,pair_index,randomised,left_is,right_is
clothing_pair_60,60,no,,
clothing_pair_61,61,no,,
clothing_pair_62,62,no,,
clothing_pair_63,63,no,,
clothing_pair_64,64,no,,
clothing_pair_65,65,no,,
clothing_pair_66,66,yes,,
clothing_pair_67,67,yes,,
clothing_pair_68,68,yes,,
clothing_pair_69,69,no,,
clothing_pair_70,70,no,,
clothing_pair_71,71,yes,,
clothing_pair_72,72,no,,
clothing_pair_73,73,yes,,
clothing_pair_74,74,yes,,
clothing_pair_75,75,yes,,
clothing_pair_76,76,no,,
clothing_pair_77,77,yes,,
clothing_pair_78,78,no,,
clothing_pair_79,79,no,,
