page_name,pair_index,randomised,left_is,right_is
food_pair_980,980,yes,,
food_pair_981,981,yes,,
food_pair_982,982,no,,
food_pair_983,983,yes,,
food_pair_984,984,yes,,
food_pair_985,985,yes,,
food_pair_986,986,no,,
food_pair_987,987,yes,,
food_pair_988,988,no,,
food_pair_989,989,no,,
food_pair_990,990,yes,,
food_pair_991,991,no,,
food_pair_992,992,no,,
food_pair_993,993,yes,,
food_pair_994,994,no,,
food_pair_995,995,no,,
food_pair_996,996,yes,,
food_pair_997,997,yes,,
food_pair_998,998,yes,,
food_pair_999,999,yes,,
