page_name,pair_index,randomised,left_is,right_is
food_pair_940,940,yes,,
food_pair_941,941,no,,
food_pair_942,942,no,,
food_pair_943,943,yes,,
food_pair_944,944,yes,,
food_pair_945,945,yes,,
food_pair_946,946,yes,,
food_pair_947,947,no,,
food_pair_948,948,no,,
food_pair_949,949,yes,,
food_pair_950,950,no,,
food_pair_951,951,no,,
food_pair_952,952,no,,
food_pair_953,953,yes,,
food_pair_954,954,no,,
food_pair_955,955,no,,
food_pair_956,956,yes,,
food_pair_957,957,no,,
food_pair_958,958,yes,,
food_pair_959,959,yes,,
