page_name,pair_index,randomised,left_is,right_is
electronics_pair_520,520,no,,
electronics_pair_521,521,yes,,
electronics_pair_522,522,yes,,
electronics_pair_523,523,yes,,
electronics_pair_524,524,yes,,
electronics_pair_525,525,yes,,
electronics_pair_526,526,no,,
electronics_pair_527,527,yes,,
electronics_pair_528,528,yes,,
electronics_pair_529,529,no,,
electronics_pair_530,530,yes,,
electronics_pair_531,531,yes,,
electronics_pair_532,532,no,,
electronics_pair_533,533,no,,
electronics_pair_534,534,no,,
electronics_pair_535,535,yes,,
electronics_pair_536,536,no,,
electronics_pair_537,537,yes,,
electronics_pair_538,538,no,,
electronics_pair_539,539,yes,,
