page_name,pair_index,randomised,left_is,right_is
food_pair_160,160,no,,
food_pair_161,161,no,,
food_pair_162,162,yes,,
food_pair_163,163,yes,,
food_pair_164,164,no,,
food_pair_165,165,no,,
food_pair_166,166,yes,,
food_pair_167,167,no,,
food_pair_168,168,no,,
food_pair_169,169,yes,,
food_pair_170,170,yes,,
food_pair_171,171,no,,
food_pair_172,172,no,,
food_pair_173,173,yes,,
food_pair_174,174,yes,,
food_pair_175,175,yes,,
food_pair_176,176,yes,,
food_pair_177,177,no,,
food_pair_178,178,no,,
food_pair_179,179,no,,
