page_name,pair_index,randomised,left_is,right_is
electronics_pair_320,320,no,,
electronics_pair_321,321,yes,,
electronics_pair_322,322,yes,,
electronics_pair_323,323,yes,,
electronics_pair_324,324,no,,
electronics_pair_325,325,yes,,
electronics_pair_326,326,no,,
electronics_pair_327,327,no,,
electronics_pair_328,328,yes,,
electronics_pair_329,329,no,,
electronics_pair_330,330,no,,
electronics_pair_331,331,no,,
electronics_pair_332,332,yes,,
electronics_pair_333,333,no,,
electronics_pair_334,334,yes,,
electronics_pair_335,335,yes,,
electronics_pair_336,336,no,,
electronics_pair_337,337,yes,,
electronics_pair_338,338,no,,
electronics_pair_339,339,yes,,
