page_name,pair_index,randomised,left_is,right_is
food_pair_900,900,no,,
food_pair_901,901,no,,
food_pair_902,902,yes,,
food_pair_903,903,no,,
food_pair_904,904,yes,,
food_pair_905,905,no,,
food_pair_906,906,yes,,
food_pair_907,907,yes,,
food_pair_908,908,no,,
food_pair_909,909,yes,,
food_pair_910,910,yes,,
food_pair_911,911,no,,
food_pair_912,912,yes,,
food_pair_913,913,no,,
food_pair_914,914,no,,
food_pair_915,915,no,,
food_pair_916,916,no,,
food_pair_917,917,yes,,
food_pair_918,918,yes,,
food_pair_919,919,yes,,
