page_name,pair_index,randomised,left_is,right_is
clothing_pair_760,760,yes,,
clothing_pair_761,761,yes,,
clothing_pair_762,762,yes,,
clothing_pair_763,763,no,,
clothing_pair_764,764,no,,
clothing_pair_765,765,yes,,
clothing_pair_766,766,yes,,
clothing_pair_767,767,no,,
clothing_pair_768,768,yes,,
clothing_pair_769,769,yes,,
clothing_pair_770,770,no,,
clothing_pair_771,771,yes,,
clothing_pair_772,772,no,,
clothing_pair_773,773,yes,,
clothing_pair_774,774,yes,,
clothing_pair_775,775,yes,,
clothing_pair_776,776,no,,
clothing_pair_777,777,no,,
clothing_pair_778,778,no,,
clothing_pair_779,779,no,,
