page_name,pair_index,randomised,left_is,right_is
clothing_pair_20,20,yes,,
clothing_pair_21,21,no,,
clothing_pair_22,22,no,,
clothing_pair_23,23,no,,
clothing_pair_24,24,no,,
clothing_pair_25,25,yes,,
clothing_pair_26,26,no,,
clothing_pair_27,27,no,,
clothing_pair_28,28,no,,
clothing_pair_29,29,no,,
clothing_pair_30,30,no,,
clothing_pair_31,31,yes,,
clothing_pair_32,32,yes,,
clothing_pair_33,33,no,,
clothing_pair_34,34,yes,,
clothing_pair_35,35,yes,,
clothing_pair_36,36,yes,,
clothing_pair_37,37,yes,,
clothing_pair_38,38,no,,
clothing_pair_39,39,yes,,
