page_name,pair_index,randomised,left_is,right_is
electronics_pair_180,180,no,,
electronics_pair_181,181,yes,,
electronics_pair_182,182,yes,,
electronics_pair_183,183,yes,,
electronics_pair_184,184,yes,,
electronics_pair_185,185,no,,
electronics_pair_186,186,no,,
electronics_pair_187,187,yes,,
electronics_pair_188,188,yes,,
electronics_pair_189,189,yes,,
electronics_pair_190,190,no,,
electronics_pair_191,191,no,,
electronics_pair_192,192,no,,
electronics_pair_193,193,no,,
electronics_pair_194,194,no,,
electronics_pair_195,195,yes,,
electronics_pair_196,196,yes,,
electronics_pair_197,197,yes,,
electronics_pair_198,198,no,,
electronics_pair_199,199,no,,
