page_name,pair_index,randomised,left_is,right_is
clothing_pair_300,300,yes,,
clothing_pair_301,301,no,,
clothing_pair_302,302,no,,
clothing_pair_303,303,no,,
clothing_pair_304,304,yes,,
clothing_pair_305,305,yes,,
clothing_pair_306,306,yes,,
clothing_pair_307,307,no,,
clothing_pair_308,308,no,,
clothing_pair_309,309,yes,,
clothing_pair_310,310,yes,,
clothing_pair_311,311,no,,
clothing_pair_312,312,yes,,
clothing_pair_313,313,no,,
clothing_pair_314,314,yes,,
clothing_pair_315,315,yes,,
clothing_pair_316,316,yes,,
clothing_pair_317,317,no,,
clothing_pair_318,318,yes,,
clothing_pair_319,319,no,,
