page_name,pair_index,randomised,left_is,right_is
clothing_pair_720,720,no,,
clothing_pair_721,721,no,,
clothing_pair_722,722,no,,
clothing_pair_723,723,no,,
clothing_pair_724,724,yes,,
clothing_pair_725,725,yes,,
clothing_pair_726,726,yes,,
clothing_pair_727,727,no,,
clothing_pair_728,728,yes,,
clothing_pair_729,729,yes,,
clothing_pair_730,730,yes,,
clothing_pair_731,731,no,,
clothing_pair_732,732,yes,,
clothing_pair_733,733,no,,
clothing_pair_734,734,yes,,
clothing_pair_735,735,yes,,
clothing_pair_736,736,yes,,
clothing_pair_737,737,yes,,
clothing_pair_738,738,yes,,
clothing_pair_739,739,yes,,
