page_name,pair_index,randomised,left_is,right_is
electronics_pair_160,160,no,,
electronics_pair_161,161,no,,
electronics_pair_162,162,yes,,
electronics_pair_163,163,yes,,
electronics_pair_164,164,no,,
electronics_pair_165,165,yes,,
electronics_pair_166,166,no,,
electronics_pair_167,167,no,,
electronics_pair_168,168,yes,,
electronics_pair_169,169,no,,
electronics_pair_170,170,no,,
electronics_pair_171,171,yes,,
electronics_pair_172,172,yes,,
electronics_pair_173,173,no,,
electronics_pair_174,174,yes,,
electronics_pair_175,175,yes,,
electronics_pair_176,176,no,,
electronics_pair_177,177,no,,
electronics_pair_178,178,no,,
electronics_pair_179,179,no,,
