page_name,pair_index,randomised,left_is,right_is
electronics_pair_580,580,no,,
electronics_pair_581,581,yes,,
electronics_pair_582,582,yes,,
electronics_pair_583,583,yes,,
electronics_pair_584,584,yes,,
electronics_pair_585,585,yes,,
electronics_pair_586,586,yes,,
electronics_pair_587,587,yes,,
electronics_pair_588,588,no,,
electronics_pair_589,589,no,,
electronics_pair_590,590,no,,
electronics_pair_591,591,no,,
electronics_pair_592,592,yes,,
electronics_pair_593,593,no,,
electronics_pair_594,594,yes,,
electronics_pair_595,595,yes,,
electronics_pair_596,596,no,,
electronics_pair_597,597,yes,,
electronics_pair_598,598,no,,
electronics_pair_599,599,yes,,
