page_name,pair_index,randomised,left_is,right_is
clothing_pair_340,340,no,,
clothing_pair_341,341,no,,
clothing_pair_342,342,no,,
clothing_pair_343,343,no,,
clothing_pair_344,344,yes,,
clothing_pair_345,345,no,,
clothing_pair_346,346,yes,,
clothing_pair_347,347,yes,,
clothing_pair_348,348,yes,,
clothing_pair_349,349,yes,,
clothing_pair_350,350,no,,
clothing_pair_351,351,no,,
clothing_pair_352,352,yes,,
clothing_pair_353,353,yes,,
clothing_pair_354,354,no,,
clothing_pair_355,355,no,,
clothing_pair_356,356,yes,,
clothing_pair_357,357,no,,
clothing_pair_358,358,yes,,
clothing_pair_359,359,no,,
